"timeslice","mycount"
"2013-09-09 09:15:00",8
"2013-09-09 09:30:00",7
"2013-09-09 09:45:00",2
"2013-09-09 10:00:00",6
"2013-09-09 10:15:00",5
"2013-09-09 10:30:00",6
"2013-09-09 10:45:00",1
"2013-09-09 11:00:00",8
"2013-09-09 11:15:00",10
"2013-09-09 11:30:00",5
"2013-09-09 11:45:00",16
"2013-09-09 12:00:00",13
"2013-09-09 12:15:00",4
"2013-09-09 12:30:00",16
"2013-09-09 12:45:00",9
"2013-09-09 13:00:00",16
"2013-09-09 13:15:00",22
"2013-09-09 13:30:00",8
"2013-09-09 13:45:00",9
"2013-09-09 14:00:00",28
"2013-09-09 14:15:00",18
"2013-09-09 14:30:00",13
"2013-09-09 14:45:00",23
"2013-09-09 15:00:00",27
"2013-09-09 15:15:00",28
"2013-09-09 15:30:00",29
"2013-09-09 15:45:00",41
"2013-09-09 16:00:00",26
"2013-09-09 16:15:00",33
"2013-09-09 16:30:00",20
"2013-09-09 16:45:00",26
"2013-09-09 17:00:00",32
"2013-09-09 17:15:00",29
"2013-09-09 17:30:00",22
"2013-09-09 17:45:00",21
"2013-09-09 18:00:00",27
"2013-09-09 18:15:00",37
"2013-09-09 18:30:00",34
"2013-09-09 18:45:00",23
"2013-09-09 19:00:00",30
"2013-09-09 19:15:00",18
"2013-09-09 19:30:00",19
"2013-09-09 19:45:00",13
"2013-09-09 20:00:00",27
"2013-09-09 20:15:00",34
"2013-09-09 20:30:00",33
"2013-09-09 20:45:00",52
"2013-09-09 21:00:00",68
"2013-09-09 21:15:00",104
"2013-09-09 21:30:00",137
"2013-09-09 21:45:00",166
"2013-09-09 22:00:00",165
"2013-09-09 22:15:00",169
"2013-09-09 22:30:00",140
"2013-09-09 22:45:00",73
"2013-09-09 23:00:00",75
"2013-09-09 23:15:00",61
"2013-09-09 23:30:00",85
"2013-09-09 23:45:00",95
"2013-09-10 00:00:00",94
"2013-09-10 00:15:00",74
"2013-09-10 00:30:00",79
"2013-09-10 00:45:00",75
"2013-09-10 01:00:00",78
"2013-09-10 01:15:00",60
"2013-09-10 01:30:00",84
"2013-09-10 01:45:00",62
"2013-09-10 02:00:00",58
"2013-09-10 02:15:00",62
"2013-09-10 02:30:00",98
"2013-09-10 02:45:00",110
"2013-09-10 03:00:00",118
"2013-09-10 03:15:00",107
"2013-09-10 03:30:00",64
"2013-09-10 03:45:00",57
"2013-09-10 04:00:00",43
"2013-09-10 04:15:00",63
"2013-09-10 04:30:00",40
"2013-09-10 04:45:00",33
"2013-09-10 05:00:00",35
"2013-09-10 05:15:00",34
"2013-09-10 05:30:00",32
"2013-09-10 05:45:00",22
"2013-09-10 06:00:00",30
"2013-09-10 06:15:00",20
"2013-09-10 06:30:00",15
"2013-09-10 06:45:00",13
"2013-09-10 07:00:00",17
"2013-09-10 07:15:00",17
"2013-09-10 07:30:00",8
"2013-09-10 07:45:00",6
"2013-09-10 08:00:00",6
"2013-09-10 08:15:00",7
"2013-09-10 08:30:00",6
"2013-09-10 08:45:00",2
"2013-09-10 09:00:00",5
"2013-09-10 09:15:00",6
"2013-09-10 09:30:00",3
"2013-09-10 09:45:00",5
"2013-09-10 10:00:00",8
"2013-09-10 10:15:00",10
"2013-09-10 10:30:00",4
